prefCode,name,nameKana,muniCode,muniCountBoth,muniCountCity,muniCountWard
1,北海道,ﾎｯｶｲﾄﾞｳ,10006,195,185,194
2,青森県,ｱｵﾓﾘｹﾝ,20001,40,40,40
3,岩手県,ｲﾜﾃｹﾝ,30007,33,33,33
4,宮城県,ﾐﾔｷﾞｹﾝ,40002,40,35,39
5,秋田県,ｱｷﾀｹﾝ,50008,25,25,25
6,山形県,ﾔﾏｶﾞﾀｹﾝ,60003,35,35,35
7,福島県,ﾌｸｼﾏｹﾝ,70009,59,59,59
8,茨城県,ｲﾊﾞﾗｷｹﾝ,80004,44,44,44
9,栃木県,ﾄﾁｷﾞｹﾝ,90000,25,25,25
10,群馬県,ｸﾞﾝﾏｹﾝ,100005,35,35,35
11,埼玉県,ｻｲﾀﾏｹﾝ,110001,73,63,72
12,千葉県,ﾁﾊﾞｹﾝ,120006,60,54,59
13,東京都,ﾄｳｷｮｳﾄ,130001,62,62,62
14,神奈川県,ｶﾅｶﾞﾜｹﾝ,140007,61,33,58
15,新潟県,ﾆｲｶﾞﾀｹﾝ,150002,38,30,37
16,富山県,ﾄﾔﾏｹﾝ,160008,15,15,15
17,石川県,ｲｼｶﾜｹﾝ,170003,19,19,19
18,福井県,ﾌｸｲｹﾝ,180009,17,17,17
19,山梨県,ﾔﾏﾅｼｹﾝ,190004,27,27,27
20,長野県,ﾅｶﾞﾉｹﾝ,200000,77,77,77
21,岐阜県,ｷﾞﾌｹﾝ,210005,42,42,42
22,静岡県,ｼｽﾞｵｶｹﾝ,220001,41,35,39
23,愛知県,ｱｲﾁｹﾝ,230006,70,54,69
24,三重県,ﾐｴｹﾝ,240001,29,29,29
25,滋賀県,ｼｶﾞｹﾝ,250007,19,19,19
26,京都府,ｷｮｳﾄﾌ,260002,37,26,36
27,大阪府,ｵｵｻｶﾌ,270008,74,43,72
28,兵庫県,ﾋｮｳｺﾞｹﾝ,280003,50,41,49
29,奈良県,ﾅﾗｹﾝ,290009,39,39,39
30,和歌山県,ﾜｶﾔﾏｹﾝ,300004,30,30,30
31,鳥取県,ﾄｯﾄﾘｹﾝ,310000,19,19,19
32,島根県,ｼﾏﾈｹﾝ,320005,19,19,19
33,岡山県,ｵｶﾔﾏｹﾝ,330001,31,27,30
34,広島県,ﾋﾛｼﾏｹﾝ,340006,31,23,30
35,山口県,ﾔﾏｸﾞﾁｹﾝ,350001,19,19,19
36,徳島県,ﾄｸｼﾏｹﾝ,360007,24,24,24
37,香川県,ｶｶﾞﾜｹﾝ,370002,17,17,17
38,愛媛県,ｴﾋﾒｹﾝ,380008,20,20,20
39,高知県,ｺｳﾁｹﾝ,390003,34,34,34
40,福岡県,ﾌｸｵｶｹﾝ,400009,74,60,72
41,佐賀県,ｻｶﾞｹﾝ,410004,20,20,20
42,長崎県,ﾅｶﾞｻｷｹﾝ,420000,21,21,21
43,熊本県,ｸﾏﾓﾄｹﾝ,430005,50,45,49
44,大分県,ｵｵｲﾀｹﾝ,440001,18,18,18
45,宮崎県,ﾐﾔｻﾞｷｹﾝ,450006,26,26,26
46,鹿児島県,ｶｺﾞｼﾏｹﾝ,460001,43,43,43
47,沖縄県,ｵｷﾅﾜｹﾝ,470007,41,41,41
