gram,gramType,kind,muniCode,prefCode,hasWard,isWard,indexKind,partition
ヶ島,name,muni,134023,13,0,0,2gram,tokyo
丈町,name,muni,134015,13,0,0,2gram,tokyo
三宅,name,muni,133817,13,0,0,2gram,tokyo
三鷹,name,muni,132047,13,0,0,2gram,tokyo
世田,name,muni,131121,13,0,0,2gram,tokyo
並区,name,muni,131156,13,0,0,2gram,tokyo
中央,name,muni,131024,13,0,0,2gram,tokyo
中市,name,muni,132063,13,0,0,2gram,tokyo
中野,name,muni,131148,13,0,0,2gram,tokyo
久留,name,muni,132225,13,0,0,2gram,tokyo
井市,name,muni,132101,13,0,0,2gram,tokyo
京区,name,muni,131059,13,0,0,2gram,tokyo
京市,name,muni,132292,13,0,0,2gram,tokyo
代田,name,muni,131016,13,0,0,2gram,tokyo
八丈,name,muni,134015,13,0,0,2gram,tokyo
八王,name,muni,132012,13,0,0,2gram,tokyo
出町,name,muni,133051,13,0,0,2gram,tokyo
分寺,name,muni,132144,13,0,0,2gram,tokyo
利島,name,muni,133621,13,0,0,2gram,tokyo
北区,name,muni,131172,13,0,0,2gram,tokyo
千代,name,muni,131016,13,0,0,2gram,tokyo
原村,name,muni,133078,13,0,0,2gram,tokyo
原村,name,muni,134210,13,0,0,2gram,tokyo
台東,name,muni,131067,13,0,0,2gram,tokyo
和市,name,muni,132209,13,0,0,2gram,tokyo
品川,name,muni,131091,13,0,0,2gram,tokyo
国分,name,muni,132144,13,0,0,2gram,tokyo
国立,name,muni,132152,13,0,0,2gram,tokyo
城市,name,muni,132250,13,0,0,2gram,tokyo
墨田,name,muni,131075,13,0,0,2gram,tokyo
多摩,name,muni,132241,13,0,0,2gram,tokyo
多摩,name,muni,133086,13,0,0,2gram,tokyo
大和,name,muni,132209,13,0,0,2gram,tokyo
大島,name,muni,133612,13,0,0,2gram,tokyo
大田,name,muni,131113,13,0,0,2gram,tokyo
央区,name,muni,131024,13,0,0,2gram,tokyo
奥多,name,muni,133086,13,0,0,2gram,tokyo
子市,name,muni,132012,13,0,0,2gram,tokyo
宅村,name,muni,133817,13,0,0,2gram,tokyo
宿区,name,muni,131041,13,0,0,2gram,tokyo
寺市,name,muni,132144,13,0,0,2gram,tokyo
小平,name,muni,132110,13,0,0,2gram,tokyo
小笠,name,muni,134210,13,0,0,2gram,tokyo
小金,name,muni,132101,13,0,0,2gram,tokyo
山市,name,muni,132136,13,0,0,2gram,tokyo
山市,name,muni,132233,13,0,0,2gram,tokyo
島区,name,muni,131164,13,0,0,2gram,tokyo
島市,name,muni,132071,13,0,0,2gram,tokyo
島村,name,muni,133621,13,0,0,2gram,tokyo
島村,name,muni,133639,13,0,0,2gram,tokyo
島村,name,muni,133647,13,0,0,2gram,tokyo
島村,name,muni,133825,13,0,0,2gram,tokyo
島村,name,muni,134023,13,0,0,2gram,tokyo
島町,name,muni,133612,13,0,0,2gram,tokyo
川区,name,muni,131091,13,0,0,2gram,tokyo
川区,name,muni,131181,13,0,0,2gram,tokyo
川区,name,muni,131237,13,0,0,2gram,tokyo
川市,name,muni,132021,13,0,0,2gram,tokyo
布市,name,muni,132080,13,0,0,2gram,tokyo
平市,name,muni,132110,13,0,0,2gram,tokyo
府中,name,muni,132063,13,0,0,2gram,tokyo
御蔵,name,muni,133825,13,0,0,2gram,tokyo
戸川,name,muni,131237,13,0,0,2gram,tokyo
摩市,name,muni,132241,13,0,0,2gram,tokyo
摩町,name,muni,133086,13,0,0,2gram,tokyo
文京,name,muni,131059,13,0,0,2gram,tokyo
新宿,name,muni,131041,13,0,0,2gram,tokyo
新島,name,muni,133639,13,0,0,2gram,tokyo
日野,name,muni,132128,13,0,0,2gram,tokyo
日ﾉ,name,muni,133051,13,0,0,2gram,tokyo
昭島,name,muni,132071,13,0,0,2gram,tokyo
杉並,name,muni,131156,13,0,0,2gram,tokyo
村山,name,muni,132136,13,0,0,2gram,tokyo
村山,name,muni,132233,13,0,0,2gram,tokyo
村市,name,muni,132276,13,0,0,2gram,tokyo
東久,name,muni,132225,13,0,0,2gram,tokyo
東京,name,muni,132292,13,0,0,2gram,tokyo
東区,name,muni,131067,13,0,0,2gram,tokyo
東区,name,muni,131083,13,0,0,2gram,tokyo
東大,name,muni,132209,13,0,0,2gram,tokyo
東村,name,muni,132136,13,0,0,2gram,tokyo
板橋,name,muni,131199,13,0,0,2gram,tokyo
梅市,name,muni,132055,13,0,0,2gram,tokyo
橋区,name,muni,131199,13,0,0,2gram,tokyo
檜原,name,muni,133078,13,0,0,2gram,tokyo
武蔵,name,muni,132039,13,0,0,2gram,tokyo
武蔵,name,muni,132233,13,0,0,2gram,tokyo
江市,name,muni,132195,13,0,0,2gram,tokyo
江戸,name,muni,131237,13,0,0,2gram,tokyo
江東,name,muni,131083,13,0,0,2gram,tokyo
津島,name,muni,133647,13,0,0,2gram,tokyo
清瀬,name,muni,132217,13,0,0,2gram,tokyo
渋谷,name,muni,131130,13,0,0,2gram,tokyo
港区,name,muni,131032,13,0,0,2gram,tokyo
瀬市,name,muni,132217,13,0,0,2gram,tokyo
狛江,name,muni,132195,13,0,0,2gram,tokyo
王子,name,muni,132012,13,0,0,2gram,tokyo
瑞穂,name,muni,133035,13,0,0,2gram,tokyo
生市,name,muni,132187,13,0,0,2gram,tokyo
田区,name,muni,131016,13,0,0,2gram,tokyo
田区,name,muni,131075,13,0,0,2gram,tokyo
田区,name,muni,131113,13,0,0,2gram,tokyo
田市,name,muni,132098,13,0,0,2gram,tokyo
田谷,name,muni,131121,13,0,0,2gram,tokyo
町田,name,muni,132098,13,0,0,2gram,tokyo
留米,name,muni,132225,13,0,0,2gram,tokyo
目黒,name,muni,131105,13,0,0,2gram,tokyo
神津,name,muni,133647,13,0,0,2gram,tokyo
福生,name,muni,132187,13,0,0,2gram,tokyo
稲城,name,muni,132250,13,0,0,2gram,tokyo
穂町,name,muni,133035,13,0,0,2gram,tokyo
立区,name,muni,131211,13,0,0,2gram,tokyo
立川,name,muni,132021,13,0,0,2gram,tokyo
立市,name,muni,132152,13,0,0,2gram,tokyo
笠原,name,muni,134210,13,0,0,2gram,tokyo
米市,name,muni,132225,13,0,0,2gram,tokyo
練馬,name,muni,131202,13,0,0,2gram,tokyo
羽村,name,muni,132276,13,0,0,2gram,tokyo
荒川,name,muni,131181,13,0,0,2gram,tokyo
葛飾,name,muni,131229,13,0,0,2gram,tokyo
蔵島,name,muni,133825,13,0,0,2gram,tokyo
蔵村,name,muni,132233,13,0,0,2gram,tokyo
蔵野,name,muni,132039,13,0,0,2gram,tokyo
西東,name,muni,132292,13,0,0,2gram,tokyo
調布,name,muni,132080,13,0,0,2gram,tokyo
谷区,name,muni,131121,13,0,0,2gram,tokyo
谷区,name,muni,131130,13,0,0,2gram,tokyo
豊島,name,muni,131164,13,0,0,2gram,tokyo
足立,name,muni,131211,13,0,0,2gram,tokyo
野区,name,muni,131148,13,0,0,2gram,tokyo
野市,name,muni,132039,13,0,0,2gram,tokyo
野市,name,muni,132128,13,0,0,2gram,tokyo
野市,name,muni,132284,13,0,0,2gram,tokyo
金井,name,muni,132101,13,0,0,2gram,tokyo
青ヶ,name,muni,134023,13,0,0,2gram,tokyo
青梅,name,muni,132055,13,0,0,2gram,tokyo
飾区,name,muni,131229,13,0,0,2gram,tokyo
馬区,name,muni,131202,13,0,0,2gram,tokyo
鷹市,name,muni,132047,13,0,0,2gram,tokyo
黒区,name,muni,131105,13,0,0,2gram,tokyo
ｭｳ,kana,muni,131024,13,0,0,2gram,tokyo
ｭｳ,kana,muni,132063,13,0,0,2gram,tokyo
ｭｸ,kana,muni,131041,13,0,0,2gram,tokyo
ｮｳ,kana,muni,131059,13,0,0,2gram,tokyo
ｮｳ,kana,muni,132080,13,0,0,2gram,tokyo
ｮｳ,kana,muni,132292,13,0,0,2gram,tokyo
ｮｳ,kana,muni,134015,13,0,0,2gram,tokyo
ｯｻ,kana,muni,132187,13,0,0,2gram,tokyo
ｱｵ,kana,muni,134023,13,0,0,2gram,tokyo
ｱｷ,name,muni,132284,13,0,0,2gram,tokyo
ｱｷ,kana,muni,132071,13,0,0,2gram,tokyo
ｱｷ,kana,muni,132284,13,0,0,2gram,tokyo
ｱﾀ,kana,muni,131211,13,0,0,2gram,tokyo
ｱﾗ,kana,muni,131181,13,0,0,2gram,tokyo
ｲｼ,kana,muni,132101,13,0,0,2gram,tokyo
ｲｼ,kana,muni,133639,13,0,0,2gram,tokyo
ｲﾀ,kana,muni,131199,13,0,0,2gram,tokyo
ｲﾄ,kana,muni,131067,13,0,0,2gram,tokyo
ｲﾅ,kana,muni,132250,13,0,0,2gram,tokyo
ｲﾗ,kana,muni,132110,13,0,0,2gram,tokyo
ｳｵ,kana,muni,131024,13,0,0,2gram,tokyo
ｳｷ,kana,muni,132292,13,0,0,2gram,tokyo
ｳｸ,kana,muni,131024,13,0,0,2gram,tokyo
ｳｸ,kana,muni,131059,13,0,0,2gram,tokyo
ｳｸ,kana,muni,131067,13,0,0,2gram,tokyo
ｳｸ,kana,muni,131083,13,0,0,2gram,tokyo
ｳｼ,kana,muni,132012,13,0,0,2gram,tokyo
ｳｼ,kana,muni,132063,13,0,0,2gram,tokyo
ｳｼ,kana,muni,132292,13,0,0,2gram,tokyo
ｳﾂ,kana,muni,133647,13,0,0,2gram,tokyo
ｳﾄ,kana,muni,131083,13,0,0,2gram,tokyo
